"행정구역(시군구)별",2026.04,2026.04,2026.04,2026.05,2026.05,2026.05,2026.06,2026.06,2026.06
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51097986,25423432,25674554,51095330,25421186,25674144,51091769,25418248,25673521
"서울특별시",9298673,4477462,4821211,9295082,4475263,4819819,9289813,4471801,4818012
"부산광역시",3235361,1571952,1663409,3234293,1571268,1663025,3232370,1570097,1662273
"대구광역시",2349360,1150292,1199068,2349305,1150137,1199168,2348165,1149388,1198777
"인천광역시",3057226,1526524,1530702,3058623,1527097,1531526,3061002,1528323,1532679
"광주광역시",1386567,683873,702694,1386379,683811,702568,1385460,683328,702132
"대전광역시",1441687,718049,723638,1442213,718270,723943,1442034,718127,723907
"울산광역시",1088041,561115,526926,1087466,560750,526716,1087089,560549,526540
"세종특별자치시",391024,194741,196283,391064,194820,196244,390923,194731,196192
"경기도",13751098,6903574,6847524,13755126,6905139,6849987,13761783,6908300,6853483
"강원특별자치도",1507199,758166,749033,1507237,758235,749002,1507217,758261,748956
"충청북도",1599375,815479,783896,1600216,815981,784235,1600787,816339,784448
"충청남도",2137689,1098060,1039629,2138517,1098485,1040032,2138785,1098635,1040150
"전북특별자치도",1720203,857466,862737,1719420,857074,862346,1718633,856605,862028
"전라남도",1775031,897139,877892,1774082,896678,877404,1773646,896552,877094
"경상북도",2498364,1265190,1233174,2496706,1264457,1232249,2495919,1264218,1231701
"경상남도",3197859,1612989,1584870,3196632,1612493,1584139,3195351,1611870,1583481
"제주특별자치도",663229,331361,331868,662969,331228,331741,662792,331124,331668
